Player_Name,DOB,Batting_Hand,Country,ARM,STYLE
M Manhas,1979-10-12,Right_Hand,India,Right,Offbreak
M Markande,1997-11-11,Right_hand,India,Right,Legbreak
M Morkel,1984-10-06,Left_Hand,South Africa,Right,Fast
M Muralitharan,1972-04-17,Right_Hand,Sri Lanka,Right,Offbreak
M Ntini,1977-07-06,Right_Hand,South Africa,Right,Fast
M Rawat,1985-10-25,Right_Hand,India,Wicket_Keeper,
M Santner,1992-02-05,Left_Hand,New Zealand,Left,Orthodox
M Ur Rahman,2001-03-28,Right_hand,Afghan,Right,Offbreak
M Vijay,1984-04-01,Right_Hand,India,Right,Offbreak
M Vohra,1993-07-18,Right_Hand,India,Right,Medium
M Wood,1990-01-11,Right_hand,England,Right,Fast
MA Agarwal,1991-02-16,Right_Hand,India,Right,Offbreak
MA Khote,1980-04-22,Right_Hand,India,Right,Medium
MA Starc,1990-01-30,Left_Hand,Australia,Left,Fast
Mandeep Singh,1991-12-18,Right_Hand,India,Right,Medium
Mashrafe Mortaza,1983-10-05,Right_Hand,Bangladesh,Right,Medium-Fast
MB Parmar,1988-04-12,Right_Hand,India,Right,Offbreak
MC Henriques,1987-02-01,Right_Hand,Australia,Right,Medium-Fast
MC Juneja,1990-09-12,Right_Hand,India,Right,Offbreak
MD Mishra,1984-02-09,Right_Hand,India,Right,Offbreak
MDKJ Perera,1990-08-17,Left_Hand,Sri Lanka,Wicket_Keeper,
MEK Hussey,1975-05-27,Left_Hand,Australia,Right,Medium
MF Maharoof,1984-09-07,Right_Hand,India,Right,Medium-Fast
MG Johnson,1981-11-02,Left_Hand,Australia,Left,Fast
MG Neser,1990-03-29,Right_Hand,Australia,Right,Medium
Misbah-ul-Haq,1974-05-28,Right_Hand,Pakistan,Right,Legbreak
MJ Clarke,1981-04-02,Right_Hand,Australia,Left,Orthodox
MJ Guptill,1986-09-30,Right_Hand,New Zealand,Right,Offbreak
MJ Henry,1991-12-14,Right_Hand,New Zealand,Right,Fast
MJ Lumb,1980-02-12,Left_Hand,England,Right,Medium
MJ McClenaghan,1986-06-11,Left_Hand,New Zealand,Left,Medium-Fast
MK Pandey,1989-09-10,Right_Hand,India,Right,Medium
MK Tiwary,1985-11-14,Right_Hand,India,Right,Legbreak
ML Hayden,1971-10-29,Left_Hand,Australia,Right,Medium
MM Patel,1983-07-12,Right_Hand,India,Right,Medium-Fast
MM Sharma,1988-09-18,Right_Hand,India,Right,Medium
MN Samuels,1981-02-05,Right_Hand,West Indies,Right,Offbreak
MN van Wyk,1979-03-20,Right_Hand,South Africa,Left,Orthodox
Mohammad Ashraful,1984-07-07,Right_Hand,Bangladesh,Right,Offbreak
Mohammad Asif,1982-12-20,Left_Hand,Pakistan,Right,Medium-Fast
Mohammad Hafeez,1980-10-17,Right_Hand,Pakistan,Right,Offbreak
Mohammad Nabi,1985-01-01,Right_hand,Afghan,Right,Offbreak
Mohammed Shami,1990-09-03,Right_Hand,India,Right,Medium-Fast
Mohammed Siraj,1994-03-13,Right_hand,India,Right,Fast
MP Stoinis,1989-08-16,Right_Hand,Australia,Right,Medium
MR Marsh,1991-10-20,Right_Hand,Australia,Right,Medium
MS Bisla,1984-12-27,Right_Hand,India,Wicket_Keeper,
MS Dhoni,1981-07-07,Right_Hand,India,Right,Medium
MS Gony,1984-01-04,Right_Hand,India,Right,Medium
MS Wade,1987-12-26,Left_Hand,Australia,Right,Medium
Mustafizur Rahman,1995-09-06,Left_Hand,Bangladesh,Left,Medium-Fast
MV Boucher,1976-12-03,Right_Hand,South Africa,Right,Medium
N Naik,1994-11-09,Right_hand,India,Wicket_Keeper,
N Pooran,1995-10-02,Left_Hand,West Indies,Wicket_Keeper,
N Rana,1993-12-27,Left_Hand,India,Right,Offbreak
N Saini,1988-10-28,Right_Hand,India,Right,Fast
NB Singh,1995-09-08,Right_Hand,India,Right,Fast
ND Doshi,1978-10-06,Right_Hand,India,Left,Orthodox
Niraj Patel,1981-03-26,Left_Hand,India,Left,Legspin
NJ Maddinson,1991-12-21,Left_Hand,Australia,Left,Orthodox
NJ Rimmington,1982-11-11,Right_Hand,Australia,Right,Medium-Fast
NK Patel,1981-03-26,Left_Hand,India,Right,Legbreak
NL McCullum,1980-09-01,Right_Hand,New Zealand,Right,Offbreak
NLTC Perera,1989-04-03,Left_Hand,Sri Lanka,Right,Medium-Fast
NM Coulter-Nile,1987-10-11,Right_Hand,Australia,Right,Fast
NS Naik,1994-09-11,Right_Hand,India,Wicket_Keeper,
NV Ojha,1983-07-20,Right_Hand,India,Wicket_Keeper,
O Thomas,1997-02-18,Right_Hand,Jaimacan,Right,Fast
OA Shah,1978-10-22,Right_Hand,England,Right,Offbreak
P Amarnath,1982-06-01,Right_Hand,India,Right,Medium
P Awana,1986-07-19,Right_Hand,India,Right,Medium
P Chopra,1992-10-07,Right_hand,India,Wicket_Keeper,
P Dharmani,1974-09-27,Right_Hand,India,Wicket_Keeper,
P Dogra,1984-11-19,Right_Hand,India,Right,Legbreak
P Krishna,1996-02-19,Right_hand,India,Right,Fast
P Kumar,1986-10-02,Right_Hand,India,Right,Medium
P Negi,1993-01-06,Left_Hand,India,Left,Orthodox
P Parameswaran,1985-05-30,Right_Hand,India,Left,Medium
P Prasanth,1985-05-22,Left_Hand,India,Left,Orthodox
P R Barman,2002-10-25,Right_hand,India,Right,Legbreak
P Raj,1998-02-20,Right_Hand,India,Left,Medium
P Sahu,1985-08-21,Right_Hand,India,Right,Legbreak
P Shaw,1999-11-09,Right_hand,India,Right,Offspin
P Suyal,1989-10-15,Right_Hand,India,Left,Medium
PA Patel,1985-09-03,Left_Hand,India,Right,Medium-Fast
PA Reddy,1991-02-11,Right_Hand,India,Right,Legbreak
Pankaj Singh,1985-05-06,Right_Hand,India,Right,Medium-Fast
Parvez Rasool,1989-02-13,Right_Hand,India,Right,Offbreak
PC Valthaty,1983-12-07,Right_Hand,India,Right,Medium
PD Collingwood,1976-05-26,Right_Hand,England,Right,Medium
PJ Cummins,1993-05-08,Right_Hand,Australia,Right,Fast
PJ Sangwan,1990-11-05,Right_Hand,India,Left,Medium
PM Sarvesh Kumar,1989-04-26,Right_Hand,India,Right,Medium
PP Chawla,1988-12-24,Left_Hand,India,Right,Legbreak
PP Ojha,1986-09-05,Left_Hand,India,Left,Orthodox
PR Shah,1987-03-11,Right_Hand,India,,
PSP Handscomb,1991-04-26,Right_Hand,Australia,,
PV Tambe,1971-10-08,Right_Hand,India,Right,Legbreak
Q de Kock,1992-12-17,Left_Hand,South Africa,,
R Ashwin,1986-09-17,Right_Hand,India,Right,Offbreak
R Bhatia,1979-10-22,Right_Hand,India,Right,Medium-Fast
R Bhui,1996-09-14,Right_hand,india,Right,Legbreak
R Bishnoi,1987-10-08,Right_Hand,India,Right,Medium-Fast
R Dhawan,1990-02-19,Right_Hand,India,Right,Medium-Fast
R Dravid,1973-01-11,Right_Hand,India,Right,Offbreak
R McLaren,1983-02-09,Left_Hand,South Africa,Right,Medium-Fast
R Ninan,1985-11-19,Right_Hand,India,Right,Offbreak
R Parag,2001-11-10,Right_hand,India,Right,Legbreak
R Rampaul,1984-10-15,Left_Hand,West Indies,Right,Medium-Fast
R Salam,2001-04-05,Right_Hand,India,Right,Fast
R Sathish,1981-01-14,Right_Hand,India,Right,Medium
R Sharma,1987-04-30,Right_Hand,India,Right,Offbreak
R Shukla,1990-08-28,Right_Hand,India,Right,Medium
R Singh,1963-09-14,Right_hand,India,Right,Offbreak
R Tewatia,1993-05-20,Left_Hand,India,Right,Legbreak
R Vinay Kumar,1984-02-12,Right_Hand,India,Right,Medium
RA Jadeja,1988-12-06,Left_Hand,India,Left,Orthodox
RA Shaikh,1985-06-12,Left_Hand,India,Left,Medium
RA Tripathi,1991-03-02,Right_hand,India,Right,Medium
Rashid Khan,1998-09-20,Right_hand,Afhanistan,Right,Legbreak
RD Chahar,1999-08-04,Right_hand,India,Right,Legbreak
RE Levi,1988-01-14,Right_Hand,South Africa,Right,Medium
RE van der Merwe,1984-12-31,Right_Hand,South Africa,Left,Orthodox
RG More,1992-02-02,Right_Hand,India,Right,Medium
RG Sharma,1987-04-30,Right_Hand,India,Right,Offbreak
RJ Harris,1979-10-11,Right_Hand,Australia,Right,Fast
RJ Peterson,1979-08-04,Left_Hand,South Africa,Left,Orthodox
RJ Quiney,1982-08-20,Left_Hand,Australia,Right,Medium
RN ten Doeschate,1980-06-30,Right_Hand,Netherlands,Right,Medium-Fast
RP Singh,1985-12-06,Right_Hand,India,Left,Medium-Fast
RR Bhatkal,1985-09-01,Right_Hand,India,Right,Medium
RR Bose,1979-02-27,Right_Hand,India,Right,Medium-Fast
RR Pant,1997-04-10,Left_Hand,India,,
RR Powar,1978-05-20,Right_Hand,India,Right,Offbreak
RR Raje,1986-09-03,Right_Hand,India,Right,Medium-Fast
RR Rossouw,1989-10-09,Left_Hand,South Africa,Right,Offbreak
RR Sarwan,1980-06-23,Right_Hand,West Indies,Right,Legbreak
RS Bopara,1985-05-04,Right_Hand,England,Right,Medium
RS Gavaskar,1976-02-20,Left_Hand,India,Left,Orthodox
RS Sodhi,1980-10-18,Right_Hand,India,Right,Medium
RT Ponting,1974-12-19,Right_Hand,Australia,Right,Medium
RV Gomez,1985-10-16,Right_Hand,India,Right,Medium
RV Pawar,1979-09-06,Left_Hand,India,Left,Orthodox
RV Uthappa,1985-11-11,Right_Hand,India,Right,Medium
RW Price,1976-06-12,Right_Hand,Zimbabwea,Left,Orthodox
S Anirudha,1987-04-14,Right_Hand,India,,
S Aravind,1984-04-08,Left_Hand,India,Left,Medium-Fast
S Badree,1981-03-09,Right_Hand,West Indies,Right,Legbreak
S Badrinath,1980-08-30,Right_Hand,India,Right,Offbreak
S Chanderpaul,1974-08-16,Left_Hand,West Indies,Right,Legbreak
S Curran,1998-06-03,Left_Hand,England,Left,Medium-Fast
S Dhawan,1985-12-05,Left_Hand,India,Right,Offbreak
S Dube,1993-06-26,Left_Hand,India,Right,Medium-Fast
S Gill,1999-09-08,Right_hand,india,Right,Offbreak
S Gopal,1993-09-04,Right_Hand,India,Right,Legbreak
S Hetmyer,1996-12-26,Left_Hand,west indies,,
S Kaul,1990-05-19,Right_Hand,India,Right,Medium
S Kaushik,1995-09-07,Right_Hand,India,Left,Chinaman
S Kuggeleijn,1992-01-03,Right_Hand,New Zealand,Right,Fast
S Ladda,1986-07-10,Right_Hand,India,Right,Legbreak
S Lamichhane,2000-08-02,Right_hand,Nepal,Right,Legbreak
S Mavi,1998-11-26,Right_hand,India,Right,Medium-Fast
S Midhun,1994-10-07,Right_hand,India,Right,Legbreak
S Nadeem,1989-08-12,Right_Hand,India,Left,Orthodox
S Narwal,1982-04-16,Left_Hand,India,Right,Medium
S Rana,1984-09-18,Right_Hand,India,Right,Medium-Fast
S Randiv,1985-01-30,Right_Hand,Sri Lanka,Right,Offbreak
S Rutherford,1998-08-15,Left_Hand,West Indies,Right,Medium-Fast
S Sharma,1993-05-18,Right_Hand,India,Right,Medium-Fast
S Singh,1987-02-04,Right_hand,Ireland,Right,Offspin
S Sohal,1987-11-10,Right_Hand,India,Right,Legbreak
S Sreesanth,1983-02-06,Right_Hand,India,Right,Medium-Fast
S Sriram,1976-02-21,Left_Hand,India,Left,Orthodox
S Tyagi,1987-09-17,Right_Hand,India,Right,Medium
S Vidyut,1981-12-03,Left_Hand,India,Left,Orthodox
S Warrier,1991-04-04,Right_Hand,India,Right,Medium-Fast
SA Abbott,1992-02-29,Right_Hand,New Zealand,Right,Medium-Fast
SA Asnodkar,1984-03-29,Right_Hand,India,Right,Offbreak
SA Yadav,1990-09-14,Right_Hand,India,Right,Offbreak
Sachin Baby,1988-12-18,Left_Hand,India,Right,Offbreak
Salman Butt,1984-10-07,Left_Hand,Pakistan,Right,Offbreak
Sandeep Sharma,1993-05-18,Right_Hand,India,Right,Medium
SB Bangar,1972-10-11,Right_Hand,India,Right,Medium-Fast
SB Jakati,1980-11-27,Left_Hand,India,Left,Orthodox
SB Joshi,1970-06-06,Left_Hand,India,Left,Orthodox
SB Styris,1975-07-10,Right_Hand,New Zealand,Right,Medium
SB Wagh,1988-10-09,Left_Hand,India,Left,Medium-Fast
SC Ganguly,1972-07-08,Left_Hand,India,Right,Medium
SD Chitnis,1987-05-06,Right_Hand,India,Right,Offbreak
SD Lad,1992-05-23,Right_hand,India,Right,Offspin
SE Bond,1975-06-07,Right_Hand,New Zealand,Right,Fast
SE Marsh,1983-07-09,Left_Hand,Australia,Left,Orthodox
Shahid Afridi,1980-03-01,Right_Hand,Pakistan,Right,Legbreak
Shakib Al Hasan,1987-03-24,Left_Hand,Bangladesh,Left,Orthodox
Shivam Sharma,1993-09-09,Right_Hand,India,Right,Offbreak
Shoaib Ahmed,1990-08-17,Right_Hand,Pakistan,Right,Medium-Fast
Shoaib Akhtar,1975-08-13,Right_Hand,Pakistan,Right,Fast
Shoaib Malik,1982-02-01,Right_Hand,Pakistan,Right,Offbreak
SJ Srivastava,1981-09-22,Right_Hand,India,Left,Medium-Fast
SK Raina,1986-11-27,Left_Hand,India,Right,Offbreak
SK Trivedi,1982-09-04,Right_Hand,India,Right,Medium
SK Warne,1969-09-13,Right_Hand,Australia,Right,Legbreak
SL Malinga,1983-08-28,Right_Hand,Sri Lanka,Right,Fast
SM Boland,1989-04-11,Right_Hand,Australia,Right,Medium-Fast
SM Harwood,1974-03-01,Right_Hand,Australia,Right,Medium-Fast
SM Katich,1975-08-21,Left_Hand,Australia,Left,Chinaman
SM Pollock,1973-07-16,Right_Hand,South Africa,Right,Medium-Fast
SMSM Senanayake,1985-02-09,Right_Hand,Sri Lanka,Right,Offbreak
SN Khan,1997-10-27,Right_Hand,India,Right,Legbreak
SN Thakur,1991-10-16,Right_Hand,India,Right,Medium
Sohail Tanvir,1984-12-12,Left_Hand,Pakistan,Left,Medium-Fast
SP Fleming,1973-04-01,Left_Hand,New Zealand,Right,Legspin
SP Goswami,1989-05-18,Left_Hand,India,Wicket_Keeper,
SP Jackson,1986-09-27,Right_hand,India,Wicket_Keeper,
SP Narine,1988-05-26,Left_Hand,West Indies,Right,Offbreak
SPD Smith,1989-06-02,Right_Hand,India,Right,Legbreak
SR Tendulkar,1973-04-24,Right_Hand,India,Right,Offbreak
SR Watson,1981-06-17,Right_Hand,Australia,Right,Medium-Fast
SS Agarwal,1993-11-21,Right_Hand,India,Right,Legbreak
SS Iyer,1994-12-06,Right_Hand,India,Right,Legbreak
SS Mundhe,1988-10-27,Right_Hand,India,Right,Medium
SS Sarkar,1984-12-15,Right_Hand,India,Right,Medium
SS Shaikh,1987-01-18,Right_Hand,India,Right,Medium
SS Tiwary,1989-12-30,Left_Hand,India,Right,Offspin
ST Jayasuriya,1969-06-30,Left_Hand,Sri Lanka,Left,Orthodox
STR Binny,1984-06-03,Right_Hand,India,Right,Medium
Sunny Gupta,1988-09-27,Right_Hand,India,Right,Offbreak
Sunny Singh,1986-12-18,Right_Hand,India,Right,Medium-Fast
SV Samson,1994-11-11,Right_Hand,India,Wicket_Keeper,
SW Billings,1991-06-15,Right_Hand,England,Wicket_Keeper,
SW Tait,1983-02-22,Right_Hand,Australia,Right,Fast
Swapnil Singh,1991-01-22,Right_Hand,India,Left,Orthodox
T Curran,1995-03-12,Right_hand,England,Right,Medium-Fast
T Henderson,1974-08-01,Right_Hand,South Africa,Right,Medium-Fast
T Kohli,1988-12-17,Right_Hand,India,Right,Medium
T Mishra,1986-12-22,Right_Hand,India,Right,Medium-Fast
T Natarajan,1991-05-27,Left_Hand,India,Left,Medium-Fast
T Shamsi,1990-02-18,Right_Hand,South Africa,Left,Chinaman
T Taibu,1983-05-14,Right_Hand,Zimbabwea,Right,Medium
T Thushara,1981-03-01,Left_Hand,Sri Lanka,Left,Medium-Fast
TA Boult,1989-07-22,Right_Hand,New Zealand,Left,Medium-Fast
TD Paine,1984-12-08,Right_Hand,Australia,Right,Medium
Tejas Baroka,1996-02-01,Right_hand,India,Right,Legbreak
TG Southee,1988-12-11,Right_Hand,New Zealand,Right,Medium-Fast
TL Suman,1983-12-15,Right_Hand,India,Right,Offbreak
TM Dilshan,1976-10-14,Right_Hand,Sri Lanka,Right,Offbreak
TM Head,1993-12-29,Left_Hand,Australia,Right,Offbreak
TM Srivastava,1989-11-07,Left_Hand,India,Right,Medium
TP Sudhindra,1984-04-24,Left_Hand,India,Right,Fast
TR Birt,1981-12-09,Left_Hand,Australia,Right,Medium
TS Mills,1992-08-12,Right_hand,England,Left,Fast
U Kaul,1987-12-02,Left_Hand,India,Wicket_Keeper,
UA Birla,1989-11-17,Right_Hand,India,Right,Medium
UBT Chand,1993-03-26,Right_Hand,India,Right,Offbreak
Umar Gul,1984-04-14,Right_Hand,Pakistan,Right,Medium-Fast
UT Khawaja,1986-12-18,Left_Hand,Australia,Right,Medium
UT Yadav,1987-10-25,Right_Hand,India,Right,Medium-Fast
V Chakravarthy,1991-08-29,Right_Hand,India,Right,Legbreak
V Kohli,1988-11-05,Right_Hand,India,Right,Medium
V Pratap Singh,1992-05-03,Right_Hand,India,Right,Medium
V Sehwag,1978-10-20,Right_Hand,India,Right,Offbreak
V Shankar,1991-01-26,Right_Hand,India,Right,Medium
VH Zol,1994-11-23,Left_Hand,India,Right,Offbreak
Vishnu Vinod,1993-12-02,Right_hand,India,Wicket_Keeper,
VR Aaron,1989-10-29,Right_Hand,India,Right,Fast
VRV Singh,1984-09-17,Right_Hand,India,Right,Medium-Fast
VS Malik,1983-05-09,Right_Hand,India,Right,Medium
VS Yeligati,1985-04-23,Right_Hand,India,Right,Offbreak
VVS Laxman,1974-11-01,Right_Hand,India,Right,Offbreak
VY Mahesh,1987-12-21,Right_Hand,India,Right,Medium-Fast
W Jaffer,1978-02-16,Right_Hand,India,Right,Offbreak
WA Mota,1981-09-20,Right_Hand,India,Right,Medium
Washington Sundar,1999-10-05,Left_Hand,India,Right,Offbreak
WD Parnell,1989-07-30,Left_Hand,South Africa,Left,Medium-Fast
WP Saha,1984-10-24,Right_Hand,India,Wicket_Keeper,
WPUJC Vaas,1974-01-27,Left_Hand,Sri Lanka,Left,Medium-Fast
X Thalaivan Sargunam,1985-05-15,Right_Hand,India,Right,Offbreak
Y Gnaneswara Rao,1984-08-25,Right_Hand,India,Right,Medium
Y Nagar,1990-01-06,Right_Hand,India,Right,Offbreak
Y Venugopal Rao,1982-02-26,Right_Hand,India,Right,Offbreak
YA Abdulla,1983-01-17,Left_Hand,India,Left,Medium-Fast
Yashpal Singh,1981-11-27,Right_Hand,India,Right,Medium
YK Pathan,1982-11-17,Right_Hand,India,Right,Offbreak
Younis Khan,1977-11-29,Right_Hand,Pakistan,Right,Medium
YS Chahal,1990-07-23,Right_Hand,India,Right,Legbreak
Yuvraj Singh,1981-12-12,Left_Hand,India,Left,Orthodox
YV Takawale,1984-11-05,Right_Hand,India,Wicket_Keeper,
Z Khan,1978-10-07,Right_Hand,India,Left,Medium-Fast
